,Point_0,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50,Point_51,Point_52,Point_53,Point_54,Point_55,Point_56,Point_57,Point_58,Point_59,Point_60,Point_61,Point_62,Point_63,Point_64,Point_65,Point_66,Point_67,Point_68,Point_69,Point_70,Point_71,Point_72,Point_73,Point_74,Point_75,Point_76,Point_77,Point_78,Point_79,Point_80,Point_81,Point_82,Point_83,Point_84,Point_85,Point_86,Point_87,Point_88,Point_89,Point_90,Point_91,Point_92,Point_93,Point_94,Point_95,Point_96,Point_97,Point_98,Point_99
Point_21,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.00000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798
Point_22,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.40000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373
Point_23,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.00000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421
Point_24,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.40000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356
Point_25,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.40000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725
Point_26,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.00000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214
Point_27,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.40000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649
Point_28,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.00000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002
Point_29,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.40000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399
Point_30,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.40000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115
Point_31,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.00000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585
Point_32,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.40000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405
Point_33,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.00000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336
Point_34,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.40000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305
Point_35,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.00000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410
Point_36,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.00000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925
Point_37,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.40000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297
Point_38,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.00000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303,1.88176154
Point_39,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.40000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737,1.90211303
Point_40,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.00000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632,1.92058737
Point_41,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.00000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352,1.93716632
Point_42,1.93716632,1.92058737,1.90211303,1.88176154,1.85955297,1.83550925,1.80965410,1.78201305,1.75261336,1.72148405,1.68865585,1.65416115,1.61803399,1.58031002,1.54102649,1.50022214,1.45793725,1.41421356,1.36909421,1.32262373,1.27484798,1.22581411,1.17557050,1.12416676,1.07165359,1.01808283,0.96350735,0.90798100,0.85155858,0.79429578,0.73624911,0.67747584,0.61803399,0.55798221,0.49737977,0.43628648,0.37476263,0.31286893,0.25066647,0.18821663,0.12558104,0.06282152,0.00000000,0.07538582,0.15069725,0.22585995,0.30079976,0.37544272,0.44971516,0.52354378,0.59685573,0.66957865,0.74164079,0.81297101,0.88349893,0.95315494,1.02187030,1.08957720,1.15620882,1.22169940,1.28598431,1.34900011,1.41068461,1.47097693,1.52981758,1.58714848,1.64291305,1.69705627,1.74952471,1.80026657,1.84923178,1.89637203,1.94164079,1.98499338,2.02638702,2.06578086,2.10313603,2.13841566,2.17158493,2.20261110,2.23146357,2.25811385,2.28253564,2.30470485,2.32459959,2.34220023,2.35748940,2.37045202,2.38107528,2.38934872,2.39526415,2.39881574,2.40000000,1.99901312,1.99605346,1.99112393,1.98422940,1.97537668,1.96457450,1.95183352
